comment,label,
Áo bao ??p ?!!,POS,
Tuy?t v?i !,POS,
2day ao khong giong trong.,NEG,
"Mùi th?m,bôi lên da m?m da.",POS,
"V?i ??p, dày d?n.",POS,
"Hàng r?t ??p, r?t chi là ?ng ý.",POS,
"Ch?t l??ng s?n ph?m t?t, date dài.",POS,
?n nói và thái ?? ph?c v? t?t.,POS,
?óng gói s?n ph?m ch?c ch?n.,POS,
t?t s?n h?t ca ch?a dùng mà vay r.,NEG,
Shop ph?c v? r?t t?t.,POS,
M?c thì c?ng ?c.,NEU,
Ch?t v?i kh?i chê.,POS,
Th?i gian giao hàng r?t nhanh.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
v?i h?i thô c?ng Th?i gian giao hàng nhanh.,POS,
Ch?t l??ng sp ch?a th?t s? ??p nhe shop!,POS,
R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.,POS,
Qu?n r?t ??p m?c v?a v?n.,POS,
C?m giác mua hàng b? h? th?t t?!,NEG,
Khi mua v? nên ?i s?a l?i.,NEG,
V?i giá này thì s?n ph?m t?m ?n ch?a ?c g?i là ??p l?m.,NEU,
R?t ?áng ti?n Th?i gian giao hàng r?t nhanh Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
Giá c? ch?p nh?n ???c.,POS,
Nchung là r?t ?n ??.,POS,
"Áo quá ??p luôn n?u không mu?n nói là ??p, may quá có áo m?i ?i làm cty m?i, shop còn m?u nào tr?ng n?a ?? mình mua.",POS,
"Ch?a m?c nh?ng th?y ch?t dày d?n, nhìn chung là hài lòng.",POS,
??ch?t v?i ?ã ok mà hình thì siu ciu luôn í.shop r?t nhi?t tình...ch?u??.,POS,
Giao hàng nhanh.,POS,
Th?y khá okz thanks shop.,POS,
"Ch?t l??ng s?n ph?m tuy?t v?i,s? ?ng h? shop nhi?u.",POS,
"Ch?t l??ng s?n ph?m t?m ???c, v?i h?i khô và m?ng.",POS,
Hàng hoá l?a ??o.,NEG,
Th?i gian giao hàng nhanh.,POS,
?nh in ??p.,POS,
Giá l?i r?.,POS,
Qu?n áo super ??p.,POS,
"Giao hàng thi?u, nt cho shop ?ã xem mà K có ph?n h?i gì.",NEG,
Thank shop!,POS,
Tuy?t v?i h?n khi mua trên shopee thì ???c freeship.,POS,
Ti?c là ko ??t thêm m?y chi?c.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t Th?i gian giao hàng r?t nhanh.,POS,
??ng h? mua v? k s? d?g ?c.,NEG,
Ch?t m?m m?n mát.,POS,
"Giao thi?u 1b 80k , mà im re.",NEG,
S?n phr r?t ?ng ý.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
mua l?n 2 r?i <3.,POS,
"Ng?c em cuzng bitnhf th??ng thôi, mà m?c vào nó v?a ??y v?a sáng c? cái b?u ng?c.",NEG,
Qu?n ??t 2 ??t t?n 7 chi?c mà ch?t qu?n hoàn toàn xa v?i ??t 1 .,POS,
99k c?ng ?áng mua.,POS,
"Qu?n ??p, v?a form .",POS,
Giao hàng nhanh.,POS,
"Ch?t v?i x?u, xù.",NEG,
"Sp t?m ???c, h?i r?ng so vs mình.",NEU,
"??p, ch?t m?m m?i m?c r?t thích, ch? shop nhi?t tình Ch?t l??ng s?n ph?m tuy?t v?i Shop ph?c v? r?t t?t R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.",POS,
"Giày nhem nhu?c, ? b?n + Box nát.",NEG,
"R?t ?áng ti?n, tuy nhiên v?i ko ???c co giãn l?m, n?u là b?n gái t? 55k tr? lên thì khó m?c.",NEU,
?? s? l??ng.,POS,
Áo y hình Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
R?T ?NG Ý VÀ CH?T L??NG!!!,POS,
"M?t ?? trong t? l?nh b? ?óng s?t l?i, kho?ng không trong chai ko di chuy?n nh? m?t mình mua ? ??a ph??ng.",NEG,
Áo s? ch?t r?t thích.,POS,
"Váy quá ??p,m?c lên r?t tôn da.",POS,
"mình xài h?p màu xanh, sao l?i th?y không th?m nh??",POS,
"Giao hàng nhanh, gi?ng hình.",POS,
"Shop t?ng thêm bánh và 1 ?ôi t?t l??i n?a, ?áng yêu ????.",POS,
"Hàng ch?t l??ng t?t, mang ?i êm <3.",POS,
Ch?t l??ng s?n ph?m tuy?t v?i nh?ng màu k gi?ng hình minh ??t .,POS,
Ng??i giao hàng r?t có tâm ??y ?.,POS,
Hàng t?t i nh? trong hình.,POS,
Giao hàng khá ch?m.,NEG,
"Áo ??p, h?i m?ng.",NEU,
?úng hàng lo?i 1 có khác t? cách ?óng gói ??n ch?t l??ng s?n ph?m quá t?t.,POS,
"Ch?t l??ng s?n ph?m tuy?t v?i , ngon b? re shop a.",POS,
Màn hình to và khá là hd.,POS,
Áo khá m?ng và c?t h?n mình ngh? ?óng gói s?n ph?m ok.,NEG,
Qu?n ch?a k?p m?c ?ã b?c 1 ?o?n.,NEG,
Mình 48kg.,NEU,
"Mình mua sp ch?t gi?ng ?nh, gói hàng ??p, giao hàng nhanh, giá c? h?p lý.",POS,
Ch?t áo thì k ph?i l?n t?nnn luôn nh?ng form h?i to .,POS,
Shop còn có quà t?ng kèm và th? tích ?i?m.,POS,
M?ng ch?y ch?m quá.,NEG,
"V?a khít b?ng mình mà không b? h?n,c?n.",POS,
Mua l?n 2.,POS,
Ch?t l??ng s?n ph?m t?t.,POS,
R?t ?ng ý ??????.,POS,
"Hàng thì siêu yêu, siêu m?m m?n.",POS,
Ch?t li?u v?i t?t so v?i giá ( 100k).,POS,
Ch?t l??ng s?n ph?m t?m ???c Th?i gian giao hàng t?m ???c ?óng gói s?n ph?m t?m ???c.,NEU,
"?óng gói k? , áo còn l?i ??p.",POS,
"Giao nh?m hàng , ib shop k tr? l?i ??????.",NEG,
"Màu b?c r?t sáng, l?p lánh h?n màu h?ng.",POS,
"Ch?t áo dày d?n, form áo ??p.",POS,
?ng qu?n bên to bên nh? size s và l b?ng nhau.,NEG,
?óng gói g?n gàng ??p ?? Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.,POS,
"Ch?t l??ng s?n ph?m t??ng x?ng giá ti?n, mua m?c thay ??i ki?u thì ok.",POS,
?c h?i l?ng cho thêm cái v?n vít k ?ang bao nhiêu nh?ng quý h?n cái dây kia b?n ?...,NEU,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
"Shop ph?c v? r?t t?t, h?t m?u mình ??t còn g?i l?i ?? ??i sang lo?i khác dù giá cao h?n nh?ng v?n l?y =giá sale.hàng r?t oke.thanks shop ??.",POS,
"Ren h?i m?m nên làm dáng áo ko ???c c?ng, nâng ng?c t?m ?c.",POS,
Giao hàng lâu.,NEG,
Sz 34 mà Khung ng?c nh? quá.,NEG,
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,
Hàng y hình r?t ??p ? ??.,POS,
Thái ?ô kém Th?i gian giao hàng r?t ch?m Shop ph?c v? r?t kém.,NEG,
Bàn tay m?ng nên ko nâng l?m.,NEG,
??p l?m ??y.,POS,
"Áo gi?ng hình, ch?t v?i h?i nóng.",POS,
"?óng g?i không c?n th?n, shop nên ?ong h?p c?ng ?? b? móp b?p túi.",NEG,
Giao hàng nhanh. .mua sp thì h?i k? tr??c tránh th?t v?ng.,NEU,
?óng gói s?n ph?m r?t ??p và ch?c ch?c.,POS,
"Th?i gian giao hàng r?t nhanh, d?y d?n, ??p.",POS,
có gi?ng hình nh?ng v?i r?t m?ng không ?úng nh? trong hình . giá ti?n t??ng ???ng v?i s?n ph?m.,NEG,
"Ch? shop t? v?n r?t nhi?t tình, ??m lên form r?t ??p, h?p v?i dáng mình, còn ?c t?ng kèm qà.",POS,
Váy còn ??p và chu?n h?n trong hình n?a.,POS,
Sz 2 b? xanh và h?ng ko gi?ng nhau.,NEG,
Áo r? ??p phù h?p giá ti?n.,POS,
"Áo v?i c?c ??p, y hình, có ?i?u to h?n mong ??i....",POS,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i ?? r?t ??p s? ?ng h? shop ti?p.,POS,
Sa?n pha?n m??i.Ch?t l??ng s?n ph?m tuy?t v?i .,POS,
Giao hàng nhanh.????.,POS,
R?t ngon nh?ng mà theo em thì nên xé nh? khô l?i.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t R?t ?áng ti?n Th?i gian giao hàng r?t nhanh??????.,POS,
Ch?t ok á..nh?ng rep ib thì h?i lâu.,POS,
Luôn ?ng h? shop.,POS,
Âm thanh r?t d?.,NEG,
X?u và nhìn phom áo chán ??i luôn.,NEG,
Ch?t l??ng s?n ph?m t?t ?áng ??ng ti?n.,POS,
"Chu?n qu?n v?i ??p ôm g?n chân, mà v?i còn mát n?a .",POS,
"Shop v?n chuy?n hàng nhanh, váy khá ?n, mà còn ?c t?ng quà n?a hihi l?c tay nh? nh? xinh xinh khi nào ?eo cho bé nhà ????.",POS,
Nhìn cái áo c? màu không ??p vãi m?ng không ?ág ti?n l?m.,NEG,
??p vào m?t là 175000? làm m?t h?ng .S?n ph?m ???c. màu ??m h?n hình.áo có mùi nh? thu?c t?y gi?t mãi ko h?t.,NEG,
Chu?n hàng Bitis.,POS,
Màu ko ??p nh? hình chup.,NEG,
Hàng ??p giao nhanh.,POS,
"Ch?t l??ng s?n ph?m tuy?t v?i , v?i ok , thích h?p cho nh?ng ai thích mang form r?ng l?m nè.",POS,
H?p v?i giá 130k.,POS,
"Form áo x?u l?m, m?c lên nh? tá ?i?n, ch? tà áo bên d??i r?t dài ch? ko ng?n nh? ?nh m?u m?c, b?o sao th?y quay clip g?p ?ôi áo vào.",NEG,
Th?i gian giao hàng r?t nhanh.,POS,
"Công ngh? h?i l?, ko bi?t có b?n ko.",NEU,
G?i h?i nh?.,NEG,
"Áo nhìn xinh , shop nói chuy?n c?c ?áng yêu.",POS,
Ch?t l??ng s?n ph?m t?m ???c.chi?u dài áo ng?n quá.,NEU,
Mùi len h?i n?ng ?ã gi?t nh?ng v?n còn n?ng mùi.,NEG,
V?i oke l?m luôn.,POS,
"S?n ph?m t?m ???c, ?óng gói không ??p.",NEG,
Ch?a th?y shop nào hãm l th? này.,NEG,
"s?n ph?m r?t ok, k? c? áo trong c?a n? ch?t v?i c?ng m?m ??p, mang lên sang ch?nh, tui mình di?n ?i sinh nh?t ai c?ng khen ??p ?ôi, nói chung là r?t hài lòng.",POS,
T?m giá là s? d?ng tot.,POS,
Không dùng ???c.,NEG,
Ch?t l??ng s?n ph?m t?m ???c a?o h?i ng??n so v??i hi?nh.,NEG,
S?n ph?m tôt giao hang nhanh.,POS,
Hàng bình th??ng.,NEU,
K con duong nao de che .,NEG,
Ch?t v?i ok dày d?n.,POS,
?ng!,POS,
Nay mua thêm 1 combo n?a.,NEU,
áo dep lam shop ui.mình rat thix.,POS,
Th?i gian giao hàng nhanh.,POS,
R?t ?ng hiii.,POS,
K giao.,NEG,
Màu s?c k gi?ng hình.,NEG,
Áo v?i quá x?u.,NEG,
"Nói chung là mình mua m?c ?i làm ok, ?áng ti?n.",POS,
"Shop nhi?t tình giúp ??, ch?t l??ng qu?n thì kh?i chê, dài r?ng gì c?ng v?a ý mình h?t.",POS,
"Yêu c?u ??i tr? Shop yêu c?u g?i ?nh, g?i cho r im l?ng.",NEG,
Th?i gian giao hàng r?t nhanh R?t ?áng ti?n Shop ph?c v? r?t t?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,
Hàng kém ch?t l??ng và không nh? qu?ng cáo.,NEG,
Shop ph?c v? r?t t?t.,POS,
Nói chung là không th?t v?ng ?âu.,POS,
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,
S?n ph?m gi?ng hình.,NEU,
Gi?y h?i c?ng Ch?t l??ng s?n ph?m t?m ???c.,NEU,
